Compressed, Min, Mean, Max
104, 368, 374, 380
105, 381, 387, 393
106, 394, 400, 407
107, 408, 414, 421
108, 422, 429, 436
109, 437, 444, 451
110, 452, 459, 466
111, 467, 475, 483
112, 484, 492, 499
113, 500, 508, 517
114, 518, 526, 535
115, 536, 544, 553
116, 554, 563, 572
117, 573, 582, 592
118, 593, 603, 613
119, 614, 624, 634
120, 635, 646, 656
121, 657, 668, 679
122, 680, 692, 703
123, 704, 716, 727
124, 728, 740, 752
125, 753, 766, 778
126, 779, 792, 805
127, 806, 820, 833
128, 834, 848, 862
129, 863, 878, 892
130, 893, 908, 923
131, 924, 940, 955
132, 956, 972, 988
133, 989, 1006, 1022
134, 1023, 1040, 1058
135, 1059, 1077, 1095
136, 1096, 1114, 1133
137, 1134, 1153, 1172
138, 1173, 1193, 1213
139, 1214, 1234, 1255
140, 1256, 1277, 1298
141, 1299, 1321, 1343
142, 1344, 1367, 1390
143, 1391, 1414, 1438
144, 1439, 1464, 1488
145, 1489, 1514, 1540
146, 1541, 1567, 1593
147, 1594, 1621, 1648
148, 1649, 1678, 1706
149, 1707, 1736, 1765
150, 1766, 1796, 1826
151, 1827, 1858, 1889
152, 1890, 1922, 1955
153, 1956, 1990, 2023
154, 2024, 2058, 2093
155, 2094, 2130, 2165
156, 2166, 2204, 2241
157, 2242, 2280, 2318
158, 2319, 2359, 2399
159, 2400, 2441, 2482
160, 2483, 2526, 2568
161, 2569, 2613, 2657
162, 2658, 2704, 2749
163, 2750, 2798, 2845
164, 2846, 2894, 2943
165, 2944, 2994, 3045
166, 3046, 3098, 3151
167, 3152, 3206, 3260
168, 3261, 3318, 3374
169, 3375, 3433, 3491
170, 3492, 3552, 3612
171, 3613, 3675, 3737
172, 3738, 3802, 3867
173, 3868, 3934, 4001
174, 4002, 4071, 4140
175, 4141, 4212, 4283
176, 4284, 4358, 4432
177, 4433, 4509, 4585
178, 4586, 4665, 4744
179, 4745, 4827, 4909
180, 4910, 4994, 5079
181, 5080, 5168, 5256
182, 5257, 5348, 5438
183, 5439, 5533, 5627
184, 5628, 5725, 5822
185, 5823, 5924, 6024
186, 6025, 6129, 6233
187, 6234, 6342, 6449
188, 6450, 6561, 6672
189, 6673, 6788, 6904
190, 6905, 7024, 7143
191, 7144, 7268, 7391
192, 7392, 7520, 7648
193, 7649, 7781, 7913
194, 7914, 8050, 8187
195, 8188, 8330, 8471
196, 8472, 8618, 8765
197, 8766, 8918, 9069
198, 9070, 9227, 9384
199, 9385, 9547, 9709
200, 9710, 9878, 10046
201, 10047, 10221, 10395
202, 10396, 10576, 10755
203, 10756, 10942, 11128
204, 11129, 11322, 11514
205, 11515, 11714, 11914
206, 11915, 12121, 12327
207, 12328, 12541, 12754
208, 12755, 12976, 13197
209, 13198, 13426, 13655
210, 13656, 13892, 14128
211, 14129, 14374, 14618
212, 14619, 14872, 15125
213, 15126, 15388, 15650
214, 15651, 15922, 16193
215, 16194, 16474, 16754
216, 16755, 17046, 17336
217, 17337, 17637, 17937
218, 17938, 18248, 18559
219, 18560, 18882, 19203
220, 19204, 19536, 19869
221, 19870, 20214, 20558
222, 20559, 20915, 21271
223, 21272, 21640, 22009
224, 22010, 22391, 22772
225, 22773, 23168, 23562
226, 23563, 23971, 24379
227, 24380, 24802, 25225
228, 25226, 25663, 26100
229, 26101, 26553, 27005
230, 27006, 27474, 27942
231, 27943, 28427, 28911
232, 28912, 29413, 29914
233, 29915, 30434, 30952
234, 30953, 31489, 32025
235, 32026, 32581, 33136
236, 33137, 33711, 34285
237, 34286, 34880, 35475
238, 35476, 36090, 36705
239, 36706, 37342, 37978
240, 37979, 38638, 39296
241, 39297, 39978, 40659
242, 40660, 41364, 42069
243, 42070, 42799, 43528
244, 43529, 44284, 45038
245, 45039, 45820, 46600
246, 46601, 47408, 48216
247, 48217, 49053, 49889
248, 49890, 50754, 51619
249, 51620, 52515, 53410
250, 53411, 54336, 55262
251, 55263, 56221, 57179
252, 57180, 58171, 59162
253, 59163, 60188, 61214
254, 61215, 62276, 63338
255, 63339, 64437, 65535
