Compressed, Min, Mean, Max
0, 0, 0, 0
1, 1, 1, 1
2, 2, 2, 2
3, 3, 3, 3
4, 4, 4, 4
5, 5, 5, 5
6, 6, 6, 6
7, 7, 7, 7
8, 8, 8, 8
9, 9, 9, 9
10, 10, 10, 10
11, 11, 11, 11
12, 12, 12, 12
13, 13, 13, 13
14, 14, 14, 14
15, 15, 15, 15
16, 16, 16, 16
17, 17, 17, 17
18, 18, 18, 18
19, 19, 19, 19
20, 20, 20, 20
21, 21, 21, 21
22, 22, 22, 22
23, 23, 23, 23
24, 24, 24, 24
25, 25, 25, 25
26, 26, 26, 26
27, 27, 27, 27
28, 28, 28, 28
29, 29, 29, 29
30, 30, 30, 30
31, 31, 31, 31
32, 32, 32, 32
33, 33, 33, 33
34, 34, 34, 34
35, 35, 36, 36
36, 37, 37, 37
37, 38, 38, 38
38, 39, 40, 40
39, 41, 41, 41
40, 42, 42, 42
41, 43, 44, 44
42, 45, 45, 45
43, 46, 46, 47
44, 48, 48, 49
45, 50, 50, 50
46, 51, 52, 52
47, 53, 54, 54
48, 55, 56, 56
49, 57, 58, 58
50, 59, 60, 60
51, 61, 62, 62
52, 63, 64, 64
53, 65, 66, 66
54, 67, 68, 69
55, 70, 70, 71
56, 72, 73, 74
57, 75, 76, 76
58, 77, 78, 79
59, 80, 81, 82
60, 83, 84, 84
61, 85, 86, 87
62, 88, 89, 90
63, 91, 92, 94
64, 95, 96, 97
65, 98, 99, 100
66, 101, 102, 104
67, 105, 106, 107
68, 108, 110, 111
69, 112, 114, 115
70, 116, 118, 119
71, 120, 122, 123
72, 124, 126, 127
73, 128, 130, 132
74, 133, 134, 136
75, 137, 139, 141
76, 142, 144, 146
77, 147, 149, 151
78, 152, 154, 156
79, 157, 160, 162
80, 163, 165, 167
81, 168, 170, 173
82, 174, 176, 179
83, 180, 182, 185
84, 186, 189, 192
85, 193, 196, 199
86, 200, 203, 206
87, 207, 210, 213
88, 214, 217, 220
89, 221, 224, 228
90, 229, 232, 236
91, 237, 240, 244
92, 245, 248, 252
93, 253, 257, 261
94, 262, 266, 270
95, 271, 275, 279
96, 280, 284, 289
97, 290, 294, 299
98, 300, 305, 310
99, 311, 316, 320
100, 321, 326, 332
101, 333, 338, 343
102, 344, 350, 355
103, 356, 362, 367
