table_index,e_step,esa_v
0,396,1.08
0,397,4.06
0,398,15.19
0,399,56.87
0,400,212.89
0,401,797.03
0,402,411.93
0,403,110.03
0,404,29.39
0,405,7.85
0,406,2.1
0,407,0.56
0,408,1.08
0,409,4.06
0,410,15.19
0,411,56.87
0,412,212.89
0,413,797.03
0,414,411.93
0,415,110.03
0,416,29.39
0,417,7.85
0,418,2.1
0,419,0.56
0,420,1.08
0,421,4.06
0,422,15.19
0,423,56.87
0,424,212.89
0,425,797.03
0,426,411.93
0,427,110.03
0,428,29.39
0,429,7.85
0,430,2.1
0,431,0.56
0,432,1.08
0,433,4.06
0,434,15.19
0,435,56.87
0,436,212.89
0,437,797.03
0,438,411.93
0,439,110.03
0,440,29.39
0,441,7.85
0,442,2.1
0,443,0.56
0,444,1.08
0,445,4.06
0,446,15.19
0,447,56.87
0,448,212.89
0,449,797.03
0,450,411.93
0,451,110.03
0,452,29.39
0,453,7.85
0,454,2.1
0,455,0.56
0,456,1.08
0,457,4.06
0,458,15.19
0,459,56.87
0,460,212.89
0,461,797.03
0,462,411.93
0,463,110.03
0,464,29.39
0,465,7.85
0,466,2.1
0,467,0.56
0,468,1.08
0,469,4.06
0,470,15.19
0,471,56.87
0,472,212.89
0,473,797.03
0,474,411.93
0,475,110.03
0,476,29.39
0,477,7.85
0,478,2.1
0,479,0.56
0,480,1.08
0,481,4.06
0,482,15.19
0,483,56.87
0,484,212.89
0,485,797.03
0,486,411.93
0,487,110.03
0,488,29.39
0,489,7.85
0,490,2.1
0,491,0.56
0,492,1.08
0,493,4.06
0,494,15.19
0,495,56.87
0,496,212.89
0,497,797.03
0,498,411.93
0,499,110.03
0,500,29.39
0,501,7.85
0,502,2.1
0,503,0.56
0,504,1.08
0,505,4.06
0,506,15.19
0,507,56.87
0,508,212.89
0,509,797.03
0,510,411.93
0,511,110.03
0,512,29.39
0,513,7.85
0,514,2.1
0,515,0.56
0,516,1.08
0,517,4.06
0,518,15.19
0,519,56.87
0,520,212.89
0,521,797.03
0,522,411.93
0,523,110.03
0,524,29.39
0,525,7.85
0,526,2.1
0,527,0.56
0,528,1.08
0,529,4.06
0,530,15.19
0,531,56.87
0,532,212.89
0,533,797.03
0,534,411.93
0,535,110.03
0,536,29.39
0,537,7.85
0,538,2.1
0,539,0.56
0,540,1.51
0,541,5.64
0,542,21.13
0,543,79.1
0,544,296.14
0,545,1108.66
0,546,572.99
0,547,153.05
0,548,40.88
0,549,10.92
0,550,2.92
0,551,0.78
0,552,1.51
0,553,5.64
0,554,21.13
0,555,79.1
0,556,296.14
0,557,1108.66
0,558,572.99
0,559,153.05
0,560,40.88
0,561,10.92
0,562,2.92
0,563,0.78
0,564,1.51
0,565,5.64
0,566,21.13
0,567,79.1
0,568,296.14
0,569,1108.66
0,570,572.99
0,571,153.05
0,572,40.88
0,573,10.92
0,574,2.92
0,575,0.78
0,576,1.51
0,577,5.64
0,578,21.13
0,579,79.1
0,580,296.14
0,581,1108.66
0,582,572.99
0,583,153.05
0,584,40.88
0,585,10.92
0,586,2.92
0,587,0.78
0,588,1.51
0,589,5.64
0,590,21.13
0,591,79.1
0,592,296.14
0,593,1108.66
0,594,572.99
0,595,153.05
0,596,40.88
0,597,10.92
0,598,2.92
0,599,0.78
0,600,1.51
0,601,5.64
0,602,21.13
0,603,79.1
0,604,296.14
0,605,1108.66
0,606,572.99
0,607,153.05
0,608,40.88
0,609,10.92
0,610,2.92
0,611,0.78
0,612,1.51
0,613,5.64
0,614,21.13
0,615,79.1
0,616,296.14
0,617,1108.66
0,618,572.99
0,619,153.05
0,620,40.88
0,621,10.92
0,622,2.92
0,623,0.78
0,624,1.51
0,625,5.64
0,626,21.13
0,627,79.1
0,628,296.14
0,629,1108.66
0,630,572.99
0,631,153.05
0,632,40.88
0,633,10.92
0,634,2.92
0,635,0.78
0,636,1.51
0,637,5.64
0,638,21.13
0,639,79.1
0,640,296.14
0,641,1108.66
0,642,572.99
0,643,153.05
0,644,40.88
0,645,10.92
