"Index_logical","Index_offset",XBkTp,YBkTp,XBkBt,YBkBt
-1897,150,1225,-4100,-6225,-4100
-1896,151,1225,-4100,-6225,-4100
-1895,152,1225,-4100,-6225,-4100
-1894,153,1225,-4100,-6225,-4100
-1893,154,1225,-4100,-6225,-4100
-1892,155,1225,-4100,-6225,-4100
-1891,156,1225,-4100,-6225,-4100
-1890,157,1225,-4100,-6225,-4100
-1889,158,1225,-4100,-6225,-4100
-1888,159,1225,-4100,-6225,-4100
-1887,160,1225,-4100,-6225,-4100
-1886,161,1225,-4100,-6225,-4100
-1885,162,1225,-4100,-6225,-4100
-1884,163,1225,-4100,-6225,-4100
-1883,164,1225,-4100,-6225,-4100
-1882,165,1225,-4100,-6225,-4100
-1881,166,1225,-4100,-6225,-4100
-1880,167,1225,-4100,-6225,-4100
-1879,168,1225,-4100,-6225,-4100
-1878,169,1225,-4100,-6225,-4100
-1877,170,1225,-4100,-6225,-4100
-1876,171,1225,-4100,-6225,-4100
-1875,172,1225,-4100,-6225,-4100
-1874,173,1225,-4100,-6225,-4100
-1873,174,1225,-4100,-6225,-4100
-1872,175,1225,-4100,-6225,-4100
-1871,176,1225,-4100,-6225,-4100
-1870,177,1225,-4100,-6225,-4100
-1869,178,1225,-4100,-6225,-4100
-1868,179,1225,-4100,-6225,-4100
-1867,180,1225,-4100,-6225,-4100
-1866,181,1225,-4100,-6225,-4100
-1865,182,1225,-4100,-6225,-4100
-1864,183,1225,-4100,-6225,-4100
-1863,184,1225,-4100,-6225,-4100
-1862,185,1225,-4100,-6225,-4100
-1861,186,1225,-4100,-6225,-4100
-1860,187,1225,-4100,-6225,-4100
-1859,188,1225,-4100,-6225,-4100
-1858,189,1225,-4100,-6225,-4100
-1857,190,1225,-4100,-6225,-4100
-1856,191,1225,-4100,-6225,-4100
-1855,192,1225,-4100,-6225,-4100
-1854,193,1225,-4100,-6225,-4100
-1853,194,1225,-4100,-6225,-4100
-1852,195,1225,-4100,-6225,-4100
-1851,196,1225,-4100,-6225,-4100
-1850,197,1225,-4100,-6225,-4100
-1849,198,1225,-4100,-6225,-4100
-1848,199,1225,-4100,-6225,-4100
-1847,200,1225,-4100,-6225,-4100
-1846,201,1225,-4100,-6225,-4100
-1845,202,1225,-4100,-6225,-4100
-1844,203,1225,-4100,-6225,-4100
-1843,204,1225,-4100,-6225,-4100
-1842,205,1225,-4100,-6225,-4100
-1841,206,1225,-4100,-6225,-4100
-1840,207,1225,-4100,-6225,-4100
-1839,208,1225,-4100,-6225,-4100
