Energy,phi_degrees,theta_degrees,phi_motor_degrees,theta_motor_degrees,phi_fwhm,theta_fwhm
5.000000000000000000e+00,4.463241087927785955e+00,4.049226910022982651e+01,0.000000000000000000e+00,-4.400000000000000000e+01,1.185519582963205565e+01,1.472528652888327372e+01
5.000000000000000000e+00,3.846510222773728671e+00,3.343094814110995827e+01,0.000000000000000000e+00,-3.600000000000000000e+01,1.125285926498602329e+01,1.352289213158686110e+01
5.000000000000000000e+00,3.065094137285536480e+00,2.626414164764520009e+01,0.000000000000000000e+00,-2.800000000000000000e+01,8.798659960110470024e+00,1.127323472894604528e+01
5.000000000000000000e+00,2.597976568328283609e+00,1.857311371888849294e+01,0.000000000000000000e+00,-2.000000000000000000e+01,7.742974745066865339e+00,9.727184651187883446e+00
5.000000000000000000e+00,2.756480183587947330e+00,1.079211231839105167e+01,0.000000000000000000e+00,-1.200000000000000000e+01,7.983606019837989010e+00,1.095907502952806922e+01
5.000000000000000000e+00,2.745664786869909779e+00,7.860710872340375133e+00,0.000000000000000000e+00,-9.000000000000000000e+00,7.965780964973836475e+00,1.035624350987701270e+01
5.000000000000000000e+00,2.620424406149352237e+00,5.098416950674935499e+00,0.000000000000000000e+00,-6.000000000000000000e+00,8.367987698036312594e+00,1.149072930200835430e+01
5.000000000000000000e+00,2.433011074395967199e+00,-4.793106933660589153e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.546789305964384909e+00,1.199715504582183101e+01
5.000000000000000000e+00,2.335916238680709522e+00,-6.728738176248524105e+00,0.000000000000000000e+00,6.000000000000000000e+00,7.070205813955784180e+00,1.161684146947010099e+01
5.000000000000000000e+00,2.664013278463000400e+00,-9.626128475636912540e+00,0.000000000000000000e+00,9.000000000000000000e+00,7.378970627910106828e+00,1.090752873060271533e+01
5.000000000000000000e+00,2.694612132478424016e+00,-1.261432220963499162e+01,0.000000000000000000e+00,1.200000000000000000e+01,7.240935555472062468e+00,1.098823912286494497e+01
5.000000000000000000e+00,3.033816063313119482e+00,-1.988847593438359951e+01,0.000000000000000000e+00,2.000000000000000000e+01,8.470517535185450697e+00,1.097433835632502586e+01
5.000000000000000000e+00,2.802671734317886187e+00,-2.761590732179405094e+01,0.000000000000000000e+00,2.800000000000000000e+01,7.891734651152945368e+00,1.150605503226321424e+01
