Packet,ItemName,sequence,lengthInBits,startBit,DataType,APID,convertAs,units,source,shortDescription,longDescription
U45_IMAGE_RATES,VERSION,0,3,0,U3,881,NONE,DN,U45_IMAGE_RATES,CCSD S Packet Version Number,CCSDS Packet Version Number
U45_IMAGE_RATES,TYPE,1,1,3,U1,881,NONE,DN,U45_IMAGE_RATES,CCSDS Packet Type Indicator,CCSDS Packet Type Indicator
U45_IMAGE_RATES,SEC_HDR_FLG,2,1,4,U1,881,NONE,DN,U45_IMAGE_RATES,CCSDS Packet Secondary Header Flag,CCSDS Packet Secondary Header Flag
U45_IMAGE_RATES,PKT_APID,3,11,5,U11,881,NONE,DN,U45_IMAGE_RATES,CCSDS Packet Application Process ID,CCSDS Packet Application Process ID
U45_IMAGE_RATES,SEG_FLGS,4,2,16,U2,881,NONE,DN,U45_IMAGE_RATES,CCSDS Packet Grouping Flags,CCSDS Packet Grouping Flags
U45_IMAGE_RATES,SRC_SEQ_CTR,5,14,18,U14,881,NONE,DN,U45_IMAGE_RATES,CCSDS Packet Sequence Count,CCSDS Packet Sequence Count
U45_IMAGE_RATES,PKT_LEN,6,16,32,U16,881,NONE,DN,U45_IMAGE_RATES,CCSDS Packet Length,CCSDS Packet Length
U45_IMAGE_RATES,SHCOARSE,7,32,48,U32,881,NONE,DN,U45_IMAGE_RATES,CCSDS Packet  2nd Header Coarse Time,CCSDS Packet 2nd Header Coarse Time
U45_IMAGE_RATES,SID,8,8,80,U8,881,NONE,DN,U45_IMAGE_RATES,Science ID,Science ID
U45_IMAGE_RATES,SPIN,9,8,88,U8,881,NONE,DN,U45_IMAGE_RATES,Spin number at integration start,Spin number at integration start
U45_IMAGE_RATES,ABORTFLAG,10,1,96,U1,881,NONE,DN,U45_IMAGE_RATES,Integration aborted?,Integration aborted?
U45_IMAGE_RATES,STARTDELAY,11,15,97,U15,881,NONE,DN,U45_IMAGE_RATES,Integration start delay (ms),Integration start delay (ms)
U45_IMAGE_RATES,FASTDATA_00,12,848,112,BYTE,881,NONE,DN,U45_IMAGE_RATES,Fast-compressed rate data,Fast-compressed rate data
