Packet,ItemName,sequence,lengthInBits,startBit,DataType,APID,convertAs,units,source,shortDescription,longDescription
U45_AUXILIARY,VERSION,0,3,0,U3,880,NONE,DN,U45_AUXILIARY,CCSD S Packet Version Number,CCSDS Packet Version Number
U45_AUXILIARY,TYPE,1,1,3,U1,880,NONE,DN,U45_AUXILIARY,CCSDS Packet Type Indicator,CCSDS Packet Type Indicator
U45_AUXILIARY,SEC_HDR_FLG,2,1,4,U1,880,NONE,DN,U45_AUXILIARY,CCSDS Packet Secondary Header Flag,CCSDS Packet Secondary Header Flag
U45_AUXILIARY,PKT_APID,3,11,5,U11,880,NONE,DN,U45_AUXILIARY,CCSDS Packet Application Process ID,CCSDS Packet Application Process ID
U45_AUXILIARY,SEG_FLGS,4,2,16,U2,880,NONE,DN,U45_AUXILIARY,CCSDS Packet Grouping Flags,CCSDS Packet Grouping Flags
U45_AUXILIARY,SRC_SEQ_CTR,5,14,18,U14,880,NONE,DN,U45_AUXILIARY,CCSDS Packet Sequence Count,CCSDS Packet Sequence Count
U45_AUXILIARY,PKT_LEN,6,16,32,U16,880,NONE,DN,U45_AUXILIARY,CCSDS Packet Length,CCSDS Packet Length
U45_AUXILIARY,SHCOARSE,7,32,48,U32,880,NONE,DN,U45_AUXILIARY,CCSDS Packet  2nd Header Coarse Time,CCSDS Packet 2nd Header Coarse Time
U45_AUXILIARY,TIMESPINSTART,8,32,80,U32,880,NONE,DN,U45_AUXILIARY,Spin Start Seconds,Spin Start Seconds
U45_AUXILIARY,TIMESPINSTARTSUB,9,16,112,U16,880,NONE,DN,U45_AUXILIARY,Spin Start Subseconds,Spin Start Subseconds
U45_AUXILIARY,DURATION,10,16,128,U16,880,NONE,DN,U45_AUXILIARY,Spin Duration,Spin Duration
U45_AUXILIARY,SPINNUMBER,11,32,144,U32,880,NONE,DN,U45_AUXILIARY,Spin Number,Spin Number
U45_AUXILIARY,TIMESPINDATA,12,32,176,U32,880,NONE,DN,U45_AUXILIARY,Spin DataTime,Spin DataTime
U45_AUXILIARY,SPINPERIOD,13,16,208,U16,880,NONE,DN,U45_AUXILIARY,Spin Period,Spin Period
U45_AUXILIARY,SPINPHASE,14,16,224,U16,880,NONE,DN,U45_AUXILIARY,Spin Phase,Spin Phase
U45_AUXILIARY,SPINPERIODVALID,15,1,240,U1,880,STATE,DN,U45_AUXILIARY,Spin Period Valid,Spin Period Valid
U45_AUXILIARY,SPINPHASEVALID,16,1,241,U1,880,STATE,DN,U45_AUXILIARY,Spin Phase Valid,Spin Phase Valid
U45_AUXILIARY,SPINPERIODSOURCE,17,1,242,U1,880,STATE,DN,U45_AUXILIARY,Spin Period Source,Spin Period Source
U45_AUXILIARY,CATBEDHEATERFLAG,18,1,243,U1,880,STATE,DN,U45_AUXILIARY,Catbed Heater,Catbed Heater
U45_AUXILIARY,SPARE1,19,4,244,U4,880,NONE,DN,U45_AUXILIARY,Spare,Spare
U45_AUXILIARY,INTS,20,8,248,U8,880,NONE,DN,U45_AUXILIARY,Spins,Spins
U45_AUXILIARY,INTN1,21,8,256,U8,880,NONE,DN,U45_AUXILIARY,Integration Multiplier 1,Integration Multiplier 1
U45_AUXILIARY,INTN2,22,8,264,U8,880,NONE,DN,U45_AUXILIARY,Integration Multiplier 2,Integration Multiplier 2
U45_AUXILIARY,SPARE2,23,4,272,U4,880,NONE,DN,U45_AUXILIARY,Reserved,Reserved
U45_AUXILIARY,HWMODE,24,1,276,U1,880,STATE,DN,U45_AUXILIARY,Hardware Mode,Hardware Mode
U45_AUXILIARY,IMCENB,25,1,277,U1,880,STATE,DN,U45_AUXILIARY,IMC Enb,IMC Enb
U45_AUXILIARY,LEFTDEFLECTIONCHARGE,26,1,278,U1,880,STATE,DN,U45_AUXILIARY,Left Deflection,Left Deflection
U45_AUXILIARY,RIGHTDEFLECTIONCHARGE,27,1,279,U1,880,STATE,DN,U45_AUXILIARY,Right Deflection,Right Deflection
U45_AUXILIARY,SPARE3,28,8,280,U8,880,NONE,DN,U45_AUXILIARY,Spare,Spare
